"*02yc4*",1,1,1,"UT","Shohei Ohtani","LAD","Mount My Castle","Mar 18, 2025 6:00:24"
"*04lgp*",1,2,2,"SS","Bobby Witt Jr.","KC","Sasaki Bombs","Mar 18, 2025 6:00:33"
"*02z0s*",1,3,3,"OF","Aaron Judge","NYY","pcorcoran3","Mar 18, 2025 6:00:39"
"*01ub6*",1,4,4,"3B","Jose Ramirez","CLE","Short Porch Soldiers","Mar 18, 2025 6:01:39"
"*03ynj*",1,5,5,"OF","Juan Soto","NYM","Kposer","Mar 18, 2025 6:01:45"
"*04y4e*",1,6,6,"OF","Corbin Carroll","ARI","The Old Timers","Mar 18, 2025 6:02:29"
"*050w9*",1,7,7,"SS","Gunnar Henderson","BAL","OnlyDans","Mar 18, 2025 6:03:33"
"*02btf*",1,8,8,"OF","Mookie Betts","LAD","We <3 PEDs","Mar 18, 2025 6:03:40"
"*04n0m*",1,9,9,"SP","Logan Gilbert","SEA","Hels Bells","Mar 18, 2025 6:03:55"
"*02611*",1,10,10,"SS","Francisco Lindor","NYM","gochargers","Mar 18, 2025 6:04:19"
"*03ojr*",1,11,11,"1B","Vladimir Guerrero Jr.","TOR","Vladdy’s Daycare","Mar 18, 2025 6:04:31"
"*03wha*",1,12,12,"OF","Ronald Acuna Jr.","ATL","Scotts Tots","Mar 18, 2025 6:04:48"
"*04q2n*",2,1,13,"C","Adley Rutschman","BAL","Mount My Castle","Mar 18, 2025 6:04:54"
"*05ajh*",2,2,14,"SP","Garrett Crochet","BOS","Sasaki Bombs","Mar 18, 2025 6:05:13"
"*01fh9*",2,3,15,"1B","Bryce Harper","PHI","pcorcoran3","Mar 18, 2025 6:05:41"
"*04fhb*",2,4,16,"OF","Julio Rodriguez","SEA","Short Porch Soldiers","Mar 18, 2025 6:05:43"
"*02c68*",2,5,17,"SS","Trea Turner","PHI","Kposer","Mar 18, 2025 6:06:03"
"*02mw6*",2,6,18,"SS","Corey Seager","TEX","The Old Timers","Mar 18, 2025 6:06:55"
"*01cgo*",2,7,19,"1B","Freddie Freeman","LAD","OnlyDans","Mar 18, 2025 6:06:57"
"*01svq*",2,8,20,"3B","Manny Machado","SD","We <3 PEDs","Mar 18, 2025 6:07:05"
"*041rd*",2,9,21,"SP","Corbin Burnes","ARI","Hels Bells","Mar 18, 2025 6:07:11"
"*04auj*",2,10,22,"SP","Framber Valdez","HOU","gochargers","Mar 18, 2025 6:08:05"
"*030uc*",2,11,23,"3B","Rafael Devers","BOS","Vladdy’s Daycare","Mar 18, 2025 6:08:30"
"*0512v*",2,12,24,"OF","Michael Harris II","ATL","Scotts Tots","Mar 18, 2025 6:09:16"
"*04b02*",3,1,25,"OF","Seiya Suzuki","CHC","Mount My Castle","Mar 18, 2025 6:09:28"
"*04de1*",3,2,26,"1B","Triston Casas","BOS","Sasaki Bombs","Mar 18, 2025 6:09:43"
"*02i3o*",3,3,27,"SP","Aaron Nola","PHI","pcorcoran3","Mar 18, 2025 6:10:33"
"*045qo*",3,4,28,"OF","Jazz Chisholm Jr.","NYY","Short Porch Soldiers","Mar 18, 2025 6:10:53"
"*",3,5,29,"","","","","Mar 18, 2025 6:10:56"
"*05ge9*",3,6,30,"SP","Shota Imanaga","CHC","The Old Timers","Mar 18, 2025 6:11:31"
"*03yrz*",3,7,31,"C","William Contreras","MIL","OnlyDans","Mar 18, 2025 6:11:33"
"*02hjp*",3,8,32,"SP","Jacob deGrom","TEX","We <3 PEDs","Mar 18, 2025 6:11:58"
"*04aq4*",3,9,33,"OF","Adolis Garcia","TEX","Hels Bells","Mar 18, 2025 6:12:11"
"*",3,10,34,"","","","","Mar 18, 2025 6:12:11"
"*04nb2*",3,11,35,"OF","Riley Greene","DET","Vladdy’s Daycare","Mar 18, 2025 6:12:41"
"*",3,12,36,"","","","","Mar 18, 2025 6:12:48"
"*04aea*",4,1,37,"SP","Hunter Greene","CIN","Mount My Castle","Mar 18, 2025 6:12:55"
"*05gdz*",4,2,38,"SP","Roki Sasaki","LAD","Sasaki Bombs","Mar 18, 2025 6:13:12"
"*024m0*",4,3,39,"2B","Jose Altuve","HOU","pcorcoran3","Mar 18, 2025 6:13:25"
"*02i2j*",4,4,40,"SP","Max Fried","NYY","Short Porch Soldiers","Mar 18, 2025 6:13:37"
"*02btx*",4,5,41,"SP","Tyler Glasnow","LAD","Kposer","Mar 18, 2025 6:14:11"
"*05y62*",4,6,42,"SP","Bryan Woo","SEA","The Old Timers","Mar 18, 2025 6:14:43"
"*03fi0*",4,7,43,"2B","Ozzie Albies","ATL","OnlyDans","Mar 18, 2025 6:14:50"
"*01s8u*",4,8,44,"OF","Mike Trout","LAA","We <3 PEDs","Mar 18, 2025 6:15:08"
"*05mre*",4,9,45,"SP","Spencer Strider","ATL","Scotts Tots","Mar 18, 2025 6:15:18"
"*04prt*",4,10,46,"OF","Lawrence Butler","ATH","gochargers","Mar 18, 2025 6:15:39"
"*04mlt*",4,11,47,"SP","Shane McClanahan","TB","Sasaki Bombs","Mar 18, 2025 6:15:44"
"*02w16*",4,12,48,"OF","Anthony Santander","TOR","Scotts Tots","Mar 18, 2025 6:16:34"
"*",5,1,49,"","","","","Mar 18, 2025 6:16:34"
"*042sz*",5,2,50,"C","Will Smith","LAD","Sasaki Bombs","Mar 18, 2025 6:16:53"
"*02n96*",5,3,51,"RP","Josh Hader","HOU","pcorcoran3","Mar 18, 2025 6:17:26"
"*040b5*",5,4,52,"OF","Randy Arozarena","SEA","Short Porch Soldiers","Mar 18, 2025 6:17:30"
"*04pks*",5,5,53,"SS","Matt McLain","CIN","Kposer","Mar 18, 2025 6:17:47"
"*04cd5*",5,6,54,"SP","MacKenzie Gore","WSH","The Old Timers","Mar 18, 2025 6:17:53"
"*02mw3*",5,7,55,"1B","Christian Walker","HOU","OnlyDans","Mar 18, 2025 6:17:55"
